filename, language, C#, XML, JSON, aspnetcorerazor, PowerShell, comment, blank, total
c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\ProcessTranscript_Lib\Specific_Austin_TX_USA.cs, C#, 28, 0, 0, 0, 0, 0, 9, 37
c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\ProcessTranscript_Lib\Specific_Philadelphia_PA_USA.cs, C#, 78, 0, 0, 0, 0, 26, 40, 144
c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\ProcessTranscript_Lib\Talk.cs, C#, 16, 0, 0, 0, 0, 0, 2, 18
c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\ProcessTranscript_Lib\TranscriptFixes.cs, C#, 21, 0, 0, 0, 0, 6, 5, 32
c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\ViewModels_Lib\AddtagsView.cs, C#, 21, 0, 0, 0, 0, 5, 5, 31
c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\ViewModels_Lib\FixasrView.cs, C#, 25, 0, 0, 0, 0, 3, 9, 37
c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\ViewModels_Lib\MeetingView.cs, C#, 33, 0, 0, 0, 0, 5, 8, 46
c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\ViewModels_Lib\ViewModels_Lib.csproj, XML, 0, 5, 0, 0, 0, 0, 3, 8
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\ConfigureAuthentication.cs, C#, 54, 0, 0, 0, 0, 15, 16, 85
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\CurrentDirectoryHelpers.cs, C#, 56, 0, 0, 0, 0, 4, 9, 69
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Data\Migrations\00000000000000_CreateIdentitySchema.Designer.cs, C#, 152, 0, 0, 0, 0, 0, 67, 219
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Data\Migrations\00000000000000_CreateIdentitySchema.cs, C#, 197, 0, 0, 0, 0, 0, 23, 220
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Data\Migrations\ApplicationDbContextModelSnapshot.cs, C#, 151, 0, 0, 0, 0, 0, 67, 218
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\AccountController.cs, C#, 438, 0, 0, 0, 0, 76, 52, 566
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\ClaimInfo.cs, C#, 12, 0, 0, 0, 0, 0, 2, 14
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\ConfirmEmail.cshtml, aspnetcorerazor, 0, 0, 0, 9, 0, 0, 2, 11
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\ConfirmEmailError.cshtml, aspnetcorerazor, 0, 0, 0, 13, 0, 0, 2, 15
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\ConfirmEmailPrompt.cshtml, aspnetcorerazor, 0, 0, 0, 25, 0, 0, 5, 30
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\ConfirmEmailPromptViewModel.cs, C#, 16, 0, 0, 0, 0, 1, 3, 20
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\ExternalLoginConfirmation.cshtml, aspnetcorerazor, 0, 0, 0, 31, 0, 0, 5, 36
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\ExternalLoginConfirmationViewModel.cs, C#, 14, 0, 0, 0, 0, 0, 2, 16
